Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
DDB1,uc001nrc.3,249.4,281.1,334.1,18908,36301,33127
PRPF38B,uc001dvv.3,44.3,36.3,43.2,1597,2153,2036
GOLIM4,uc003ffe.2,20.2,26,30.9,938,1988,1865
KLHL26,uc002njz.1,9.6,6.5,7.8,374,445,414
S100A2,uc001fcb.2,31.3,39.2,46.5,186,410,370
PCYT1A,uc003fwg.2,36.1,36.5,43.4,866,1452,1369
IGFBP7,uc003hcn.2,1547.9,1463.4,1738.2,28476,46086,41841
DGKE,uc002iur.2,7.3,7.3,8.6,275,465,424
ITPKB,uc010pvo.1,2.8,2.3,2.7,172,230,221
PJA2,uc003kos.3,82,76.3,90.6,3912,6023,5551
CAMSAP1,uc004cgr.3,22.2,20.4,24.2,2315,3614,3365
SRXN1,uc002wea.2,77.7,66.9,79.4,627,928,878
PGBD2,uc001ifh.2,7.9,7.9,9.4,313,529,481
CDK2AP1,uc001ueq.2,198.6,279.9,332.1,1093,2722,2449
PLAA,uc003zqd.2,25.2,30.1,35.7,1339,2634,2460
SLC36A4,uc001pdn.2,15.7,16.9,20,535,952,872
DYNC1LI1,uc003cfb.3,53.7,62.9,74.6,1789,3515,3278
SNCA,uc003hsp.2,27.2,22.4,26.6,246,317,311
ZNF518B,uc003gmn.2,10.2,10.9,12.9,738,1294,1205
RAB23,uc003pdt.2,32.2,34.9,41.4,496,932,835
PAK1IP1,uc003mzg.2,56.2,113.4,134.5,1468,4988,4532
DNLZ,uc004chf.1,41.3,40.7,48.3,442,774,726
RAB35,uc010szg.1,77.1,74.3,88.1,1355,2260,2080
TOM1,uc003anp.2,26,17.7,21,822,964,893
SCOC,uc011che.1,61.4,81.6,96.7,373,860,769
JAGN1,uc003btt.3,84,82.1,97.3,973,1615,1505
FHL3,uc001cck.2,34.7,33.1,39.2,631,1004,939
TMOD3,uc002abm.2,49.2,52.5,62.2,1132,2054,1878
GABARAPL2,uc002fen.2,159,176.4,209,1099,2092,1876
ATG12,uc003krh.2,28.4,34.3,40.6,272,573,522
PES1,uc003aij.1,121.1,123,145.8,3823,6869,6358
TGOLN2,uc002soz.2,89.6,77.2,91.4,2411,3484,3269
C17orf80,uc002jjm.3,17.4,19.4,22.9,707,1326,1207
PLCD3,uc002iib.2,44.6,25.7,30.5,2283,2222,2084
NAP1L1,uc001sxx.2,370.5,267.7,317.1,2735,3557,3269
SLC50A1,uc001fhj.3,30.4,24.5,29,433,582,546
C21orf59,uc002yqc.2,99.3,123,145.7,1843,3871,3568
SNX2,uc003kte.2,84.9,98.7,116.9,2949,5649,5240
LANCL2,uc003tqp.2,25.1,26.5,31.4,737,1276,1217
TMEM192,uc003iqz.3,18.8,20.9,24.8,330,620,572
CHML,uc001hzd.2,20,24.3,28.8,880,1786,1634
CBFB,uc002erb.2,95.5,95.9,113.6,1137,1920,1797
PSMA6,uc001wtd.2,63.3,71.9,85,338,694,617
MPZL1,uc001geo.2,19.1,15.9,18.9,289,420,393
C3orf37,uc003elt.2,38.2,39.2,46.4,892,1494,1410
SOCS3,uc002jvl.2,22.9,14,16.6,328,339,318
PSMG1,uc002yxi.2,78.6,114.4,135.3,1488,3667,3335
CCDC117,uc003aeb.2,9.7,10.6,12.6,176,313,300
UBR1,uc001zqq.2,11.6,14.5,17.1,1389,2842,2607
GDI2,uc001iil.3,190.7,211.8,250.5,3733,6951,6466
CCBL1,uc004bwh.2,19.5,17.6,20.8,530,817,758
RABL3,uc003edx.2,31.3,34.3,40.5,482,869,815
EXOSC7,uc003coi.2,100.4,132.7,157,1875,4260,3909
BRP44L,uc011egn.1,24.8,42,49.7,169,480,439
ALG14,uc001dra.2,19.7,32.1,37.9,276,760,696
PRDM2,uc001avi.2,5.9,6.8,8,685,1333,1202
ZFX,uc004dbf.2,7.7,8.5,10,394,718,667
PUS7L,uc001rnr.3,11.9,20.3,24,568,1604,1457
GALM,uc002rqy.2,9.2,7.2,8.5,216,260,249
METAP2,uc001tec.2,230.3,287.1,339.3,6251,13157,12098
DNAL1,uc001xoq.3,15.5,21.1,24.9,191,441,401
DDX5,uc002jek.2,648.8,947.7,1119.9,26156,63601,58376
FAM190B,uc010qmd.1,12.9,13.3,15.8,903,1554,1426
KTN1,uc001xcc.2,126.8,173.5,205,11824,26517,24205
CHCHD7,uc003xsv.2,64.4,85.6,101.1,454,1015,919
RCOR1,uc001ymb.2,20.8,20.9,24.7,661,1099,1028
FAM114A1,uc003gtn.2,54.5,47.7,56.4,2058,2953,2742
USMG5,uc001kww.1,358,643.1,759.8,525,1626,1439
PPP3CC,uc003xbs.2,25.6,26.5,31.3,867,1516,1385
DSTYK,uc001hbw.2,11.6,8.3,9.8,717,841,792
P2RX5,uc002fwi.2,18.9,15.4,18.1,510,709,659
RAB11FIP5,uc002sis.3,51,37.3,44.1,432,549,505
MITD1,uc002szs.1,53.8,70.1,82.8,890,1937,1758
ENC1,uc003kdc.3,82.8,104.5,123.4,3247,6678,6283
S100A6,uc001fbw.1,5508.8,6030,7118.4,30376,57629,52257
PPP1CC,uc001tru.2,265.7,389.7,460,5593,13558,12392
MAGT1,uc004fof.2,49.4,60.2,71,1208,2480,2242
MRPS22,uc003etb.2,95.8,140.9,166.3,2280,5776,5146
MYL12A,uc002klr.2,859.7,900.7,1062.7,2069,3803,3497
TPGS1,uc002lou.2,72.7,53.8,63.5,1319,1712,1575
MIER3,uc003jra.1,18.2,18.8,22.1,668,1175,1050
CEBPZ,uc002rpz.2,58.6,107,126.2,4199,12965,11564
PCDHGC5,uc003lla.1,15.1,11.6,13.6,950,1195,1119
C3orf33,uc003fal.1,8,8.3,9.8,134,230,210
OPN3,uc001hza.2,23.9,21.7,25.5,625,952,884
COX6B1,uc002oav.2,402.5,442.3,521.2,1446,2849,2551
C10orf32,uc001kwi.2,49.3,48.2,56.8,333,539,496
LYPLA1,uc003xry.2,21,23.7,27.9,215,436,385
XBP1,uc011akl.1,74.5,81.4,95.9,1747,3351,3031
SDC2,uc003yhv.1,93,113,133.1,1215,2507,2269
TAB2,uc003qmj.2,36.1,42.8,50.4,1712,3312,3028
SCAF4,uc002ypd.2,16.4,17.2,20.3,1245,2204,2024
TOMM6,uc011dug.1,281.2,317.1,373.5,803,1618,1469
USP32,uc002iyo.1,10.6,8,9.5,1065,1367,1253
HSP90B3P,uc010osx.1,59.7,43.6,51.4,730,971,879
C17orf89,uc002jzx.2,137.7,98.8,116.3,449,544,528
PRMT1,uc010enf.1,328.9,351.9,414.3,5933,11077,10163
CXorf38,uc004dew.2,27.7,23.2,27.3,569,805,747
NDUFC1,uc003ihs.2,76.8,99.8,117.5,366,792,719
SMAD5,uc003lbl.1,37.7,39.1,46.1,1177,1991,1844
MYL6B,uc001sjs.2,198.3,165,194.2,2151,3077,2833
SIK2,uc001plt.2,22.1,18.8,22.2,1367,1955,1784
TFPI,uc002upy.2,35.3,38,44.7,728,1292,1166
B4GALT5,uc002xuu.3,54.7,47.2,55.5,1412,2032,1854
C22orf25,uc002zrc.1,13.3,12,14.1,237,359,330
SCARF2,uc002zsk.1,20.6,16.5,19.4,1109,1558,1456
SDAD1,uc003hje.3,12.9,13.6,15.9,486,906,820
PICALM,uc001pbm.2,174.9,186.7,219.5,7652,13522,12396
SNAPC1,uc001xft.2,54.6,85.7,100.8,1347,3551,3187
C10orf2,uc001ksf.2,18.8,16.4,19.3,837,1245,1143
TPT1,uc001uzy.1,3804.3,2761.7,3246.4,9890,13207,11912
EIF3F,uc001mfw.2,61.9,42.2,49.6,441,558,501
AP2B1,uc002hjq.2,62.8,49.8,58.5,2729,3769,3434
FDPS,uc001fkc.2,86.1,67.7,79.5,1386,2004,1812
RNF130,uc003mll.1,76.4,92.7,108.9,2143,4364,3930
MED4,uc001vby.1,55.6,65.6,77.1,990,1943,1778
MRPS28,uc003ybp.2,63.8,114.7,134.7,778,2400,2132
TDP2,uc003nej.2,41.8,51.8,60.9,1011,2111,1894
ARHGDIB,uc001rcq.1,29.9,39.8,46.7,380,884,796
TMEM9B,uc001mhe.1,86,104.1,122.3,1088,2269,2052
MDK,uc001nco.2,421.2,318.1,373.5,3782,4835,4472
ETV4,uc002idw.2,20.5,20.4,23.9,639,1100,997
U2AF1,uc002zdb.1,124,97,113.9,1245,1742,1609
SEMA4C,uc002sxh.3,29.5,17.4,20.5,1586,1616,1480
