Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
SERPINB2,uc002ljo.2,3.6,5,651.6,97,214,23231
TNFAIP3,uc003qhr.2,2.8,1,80.6,144,87,5518
RRAD,uc002eqo.2,5.9,2.8,134.2,122,87,3534
XIRP1,uc003cjk.1,0,0.1,3.1,5,13,491
IL1B,uc002tii.1,2.6,1.6,70.1,49,44,1609
IL6,uc003svj.3,2.3,1.1,27.5,31,27,496
LIF,uc003agz.2,21.4,9.1,174.2,282,206,2986
JUN,uc001cze.2,99.2,30.8,491.4,2078,1077,13954
BTG2,uc001gzq.2,11.1,2.7,39.8,112,48,529
SSTR1,uc001wul.1,1.4,0.5,7.3,33,22,244
THBD,uc002wss.2,12,4.5,63.3,421,279,3147
BHLHE40,uc003bqf.2,16.8,10.3,134.6,474,464,4783
ATF3,uc001hjf.2,7.9,7.1,91.6,89,148,1403
ADAMTS1,uc002ymf.2,41.4,24.5,269.2,2495,2633,22593
CDKN1A,uc003omm.3,331.9,74.7,819.8,3344,1351,11312
SPRY4,uc003lml.2,6.2,3.7,37.6,117,118,963
LOC400027,uc001roq.2,4.9,2.1,20.9,38,28,208
STC1,uc003xdw.1,21.6,17.7,168.6,350,467,3549
SHC4,uc001zxb.1,1.2,0.4,4.1,53,29,221
JUNB,uc002mvc.2,58.7,30.9,276.2,1337,1225,8225
SPRY2,uc001vlj.2,43.9,45.1,385.1,906,1589,10401
IL11,uc002qks.1,41.1,42,342.9,494,910,5788
DUSP1,uc003mbv.1,105.3,37.4,298.3,2347,1564,9211
MKRN3,uc001ywh.3,3.4,0.8,6.6,110,46,287
CREB5,uc003szq.2,0.5,0.6,5,16,39,220
DUSP5,uc001kzd.2,106.5,42.4,316.5,2320,1791,9935
DUSP10,uc001hmy.1,2.1,1.8,12.8,67,91,533
SGK223,uc003wsh.3,1,0.5,3.7,96,79,453
AKAP12,uc011eep.1,37.8,34.6,246.8,4490,6799,38286
INHBA,uc003thr.2,43.9,34.7,245.3,1242,1574,8991
RELB,uc002paj.1,9.1,3.3,22.8,340,202,1133
NUAK2,uc001hce.2,4.3,2.7,18.5,175,185,1004
CSRNP1,uc003cjg.2,17.4,13,86.6,666,867,4413
PMEPA1,uc002xyq.2,8.2,4.3,28.2,160,130,692
TRIB1,uc003yrx.2,13.5,5.1,33.3,332,215,1067
none,uc001kec.1,9.3,4.3,27.9,79,59,309
ISG20,uc002bmv.1,4.5,2.5,16.2,51,50,248
NAB2,uc001smz.2,30.4,27.6,174.6,1041,1607,7925
ICAM1,uc002mnq.2,4,1.1,6.6,144,61,302
VDR,uc001rqn.2,2.7,2.3,14.2,76,110,524
KBTBD8,uc003dmy.2,3.2,2.8,16.9,126,195,877
DACT1,uc001xdw.2,1.1,0.5,2.9,67,45,213
C7orf61,uc003uuz.1,3.1,3.2,18.7,39,70,327
C12orf34,uc001tpf.1,1,1.1,6.6,30,55,259
HBEGF,uc003lfi.2,30,40.9,240.6,384,956,4252
NFKBIA,uc001wtf.3,43.4,27.8,161.8,904,954,4399
HIVEP3,uc001cha.3,1,0.5,3,154,133,627
TSLP,uc003kpb.2,5.9,4.3,23.9,62,78,319
NEDD9,uc003mzv.2,9.9,5.7,31.4,524,544,2271
ZNF697,uc001ehy.1,5.2,2.7,14.5,180,155,682
HIC1,uc010cjy.2,6.8,3.5,19,329,273,1202
CCRN4L,uc003ihl.2,4.9,3.3,17.6,134,160,653
PDGFB,uc003axf.2,5.6,3.6,18.6,90,98,383
TMEM158,uc011baf.1,122.9,45.6,236.6,2301,1426,6066
TIPARP,uc003fav.2,12.4,10,51.7,546,724,2939
JAG1,uc002wnw.2,4,3.3,16.9,325,451,1789
GPR3,uc001bod.2,3.2,2.5,12.8,69,98,363
ESM1,uc003jpk.2,19.2,11.4,57.9,225,227,901
SNAI2,uc003xqp.2,2.1,1.8,8.9,39,50,204
CDKN2B,uc003zpo.2,18.7,5.3,26.8,117,57,221
FOXC2,uc002fjq.2,24.1,12.4,62,701,652,2521
KLF5,uc001vje.2,3.1,2.7,13.6,96,140,537
EID2B,uc002olz.1,9.1,5,24.4,91,87,331
PPP1R3B,uc003wsn.3,4.4,2.6,12.5,85,77,304
MIR22HG,uc002ftg.2,40.8,14.4,70,135,87,312
DUSP6,uc001tay.2,85.9,36.7,175.6,2071,1606,5732
GEM,uc003ygi.2,10.6,10,47.5,212,318,1205
KDM6B,uc002giw.1,5.8,3.4,15.7,651,632,2298
UFSP1,uc003uxc.3,6.2,4.1,18.9,53,62,224
FILIP1L,uc003dtm.2,7.1,3.7,16.9,561,475,1669
F3,uc001dqr.2,185.5,117.7,541,3478,3787,13622
ZNF469,uc002fku.2,0.6,0.5,2.3,161,234,786
HIVEP1,uc003nac.2,3.2,3.2,14.6,597,999,3466
CD274,uc003zje.2,17.7,12.4,56.3,320,412,1398
CCDC19,uc001fui.2,1.2,1.1,4.8,44,64,230
EDN1,uc003nae.3,3.4,3.9,17,45,95,305
MDM2,uc001sui.2,37.5,17.6,75.8,1250,974,3245
GREM1,uc001zhe.1,235.3,161,693.1,2669,3139,10572
KLF6,uc001iha.2,52.4,22.8,97.5,958,715,2361
ADRB2,uc003lpr.1,21.9,8.7,37.2,586,392,1321
SGK1,uc003qeo.3,32.4,31.6,132.3,1097,1882,6009
MAB21L1,uc001uvc.2,9,6.4,26.6,222,240,819
MAB21L2,uc003ilw.2,7.7,5,20.5,188,196,633
SPHK1,uc002jrj.2,66.1,61,251.5,1975,3062,10190
BIRC3,uc001pgx.2,1.6,1.8,7.2,64,114,365
MAFF,uc003avd.2,21.7,13.3,53.8,360,406,1238
PHLDA1,uc001sxu.2,164.4,113.7,460.5,4131,4816,15512
ZFP36L1,uc001xkh.1,111.3,54.9,217,2442,2064,6284
TGFA,uc002sgs.3,13.3,4.1,16.3,133,71,219
C1orf63,uc001bjw.2,60.1,23.1,90.6,1146,755,2248
MAFF,uc011anr.1,29.6,18.4,72.1,288,331,973
BCL6,uc003frq.1,12.4,9.9,38.6,591,783,2362
PDE4DIP,uc001elw.3,7.3,4.1,16,1112,1030,3158
CTGF,uc003qcz.2,250.1,106.6,416,5471,4226,12450
FZD8,uc001iyz.1,5.2,2.6,10.2,227,208,607
IRAK2,uc003bve.1,7,4.5,17.3,296,308,938
ZMAT3,uc003fjg.2,15.5,5,19.2,306,161,476
SOX9,uc002jiw.2,23.7,12.8,49.1,756,690,2092
G0S2,uc001hhi.3,1394.9,908,3440.9,8468,9807,29169
NR4A1,uc009zmc.2,17.7,11.9,44.5,155,185,530
SPOCD1,uc001bts.1,7.7,5.8,21.6,614,766,2287
NAB1,uc002usb.2,6.7,5.7,21.1,185,269,771
HLX,uc001hmv.3,2.8,2.2,8.3,87,115,348
TRIM13,uc001vdp.1,13.5,15.3,56.3,373,718,1978
SERTAD1,uc002ont.3,34.3,38.9,142.1,507,1022,2858
RND3,uc002txg.2,89.7,82.4,299.8,1389,2333,6235
GCH1,uc001xbi.1,3.4,4.3,15.7,54,124,336
FGF5,uc003hmd.2,60.3,48.1,173.4,1029,1411,3970
PER1,uc002gkd.2,4.6,2.3,8.3,384,344,929
DIO2,uc010tvq.1,1.8,3.4,12,33,102,278
SESN1,uc003psu.2,16.1,11.3,39.6,614,710,1886
PLAU,uc001jwa.2,19.1,10.2,35.6,548,463,1323
GADD45A,uc001ddz.1,193.8,104.1,361.8,1890,1889,4922
NR4A1,uc001rzt.2,18.5,11.8,41,687,798,2103
BCL3,uc010xxe.1,10.8,7.7,26.8,330,384,1049
ANKRD42,uc001ozz.1,5.1,3.3,11.5,134,142,384
ETS1,uc001qej.2,47.4,41.9,144.9,1473,2225,6054
LONRF3,uc004eqw.2,2.7,2.3,7.9,131,192,521
ZC3H12C,uc009yxw.2,10.6,8.9,30.5,623,874,2332
ZC3H12A,uc001cbb.3,12.7,9.2,31.2,497,622,1611
MYC,uc003ysi.2,102.5,53,180.3,2952,2735,7036
FLJ10038,uc001zyg.2,19.4,6.9,23.6,159,98,267
PLK3,uc001cmn.2,41.3,22.4,75.7,1720,1642,4236
TSPYL4,uc003pwn.2,35.4,20.2,68.3,939,922,2429
SERPINE1,uc003uxt.2,1542.5,1442.7,4868.3,38833,67253,168264
ENTPD7,uc001kqa.3,8.6,8,27,353,547,1409
PLAUR,uc002oxf.1,135.7,121.2,406.5,2892,4435,11689
VAMP1,uc001qok.2,14.3,9.6,32,108,120,313
SEMA7A,uc002axv.2,118.5,77.1,257.1,4888,5698,14829
ZNF35,uc003cnq.2,4.2,3.9,12.9,131,209,556
ARAP2,uc003gsq.1,0.6,0.7,2.4,69,143,357
ST3GAL1,uc003yuk.2,6.9,5.1,16.8,148,183,483
SLC35E4,uc003ais.1,9.1,5,16.4,195,187,494
TTC32,uc002rdg.2,8.9,7.4,24.5,90,122,310
NFKBIZ,uc003dvp.2,8.2,3.6,11.7,383,292,728
ARL4C,uc002vvn.2,85.6,44.1,144,1072,897,2340
NLRP3,uc001icr.2,4.3,2.5,7.9,287,283,709
ZNF416,uc002qpf.2,3.8,2,6.4,143,133,329
FOSL2,uc002rma.2,72.7,43.5,139.1,1508,1551,3887
RGS4,uc001gcl.3,237.7,272.3,868.9,4736,9131,22494
IRGQ,uc010eiv.2,7.5,4.3,13.6,298,300,736
CDC42EP2,uc001odl.2,25.6,12.6,39.5,333,295,705
PGM2L1,uc001ovb.1,2.2,1.2,3.8,90,78,205
ZBTB26,uc004bnk.2,7.6,4.6,14.4,226,222,546
ZNF79,uc004bqw.3,3.6,2.1,6.6,116,118,279
PIGW,uc002hmz.1,8.8,10.2,31.6,300,575,1376
ZNF791,uc002mua.2,6.4,3.8,11.8,240,235,575
BBC3,uc010xyl.1,23.1,8.2,25.3,376,239,563
NFKBIE,uc003oxe.1,14.1,11.2,34.3,451,632,1481
IER2,uc002mwr.2,139,58.9,181.1,1939,1477,3436
ZFP36,uc002olh.1,17.2,5.8,17.8,359,218,499
NR1D1,uc002htz.1,7.9,6.7,20.5,330,439,1090
CRY1,uc001tmi.3,20.7,21.3,64.7,809,1397,3282
MARS2,uc002uuq.2,8.1,6.1,18.6,304,414,954
TRIM47,uc002jpw.2,3.9,2.3,7.1,153,161,390
EHD1,uc001obu.1,80.1,62.5,188,2588,3525,8288
TCF7,uc003kyz.2,10.5,10.1,30.2,252,396,950
CCDC71L,uc003vdt.2,62.9,34.6,103.5,938,863,2070
ARID5B,uc001jlt.1,7.6,5.3,15.8,634,721,1632
PTGER4,uc003jlz.2,7.1,8.4,24.7,216,467,1034
SLC30A1,uc001hio.1,26.4,23,67.5,887,1309,2957
MSC,uc003xyx.1,8.3,5.5,16,110,124,280
EPHA4,uc002vmq.2,5,3.6,10.4,344,385,889
NUAK1,uc001tlj.1,9.3,8.3,23.8,416,608,1362
RARA,uc002huk.1,23.2,16.6,47.3,679,827,1858
C6orf141,uc011dwo.1,13,4.8,13.6,213,121,283
C12orf76,uc001tqc.1,27.4,13.8,39.3,114,103,223
HSPB8,uc001txb.2,32.5,30.6,86.9,411,649,1444
LOC152217,uc003fxg.3,60.2,38.8,110,354,410,894
VASN,uc002cwj.1,48.4,37.2,104.5,2138,2737,6089
SMAD7,uc002ldg.2,12.3,9.4,26.3,345,436,968
C12orf5,uc001qmp.2,29.9,46.3,128.2,534,1396,2957
MCM9,uc003pyh.2,5.1,3.1,8.7,136,137,292
ERRFI1,uc001aoz.2,76.6,78.7,217.5,2317,4072,8675
SLC22A4,uc003kwq.2,3.4,3.6,9.9,120,207,464
C11orf68,uc001ogi.2,140,64.4,177.9,2563,2077,4461
TFAP2A,uc003myr.2,5.2,3.9,10.7,149,190,403
HRH1,uc010hds.2,7.6,6.4,17.6,244,333,738
IER5,uc001got.3,234,92.6,254.6,4736,3333,7110
ERF,uc002ote.3,94.9,76,208.5,3126,4310,9258
ZNF175,uc002pxb.2,9.9,8,22.1,469,644,1354
CNO,uc003gjp.1,38.2,18.9,51.9,510,444,957
ITPRIP,uc001kyf.2,40.3,30.1,82.3,1395,1833,3895
VAMP2,uc010cnt.1,43.5,23.2,63.4,314,282,609
HOXB9,uc002inx.2,13.5,9.5,26.1,211,257,551
ZFP36,uc010egn.1,18.1,6.7,18.3,271,183,369
SERTAD2,uc002sde.1,10.1,8.2,22.3,206,286,600
GPR56,uc002emc.2,18.1,12.3,33.3,824,921,1980
DCUN1D3,uc002dhz.2,11.1,6.3,17.2,205,207,427
FOXC1,uc003mtp.2,4.7,2.7,7.2,150,154,323
MAP3K14,uc002iiw.1,9.4,5.4,14.5,587,567,1188
LOC283392,uc010stv.1,16.7,7.2,19.3,158,120,250
JUND,uc002nip.2,166.3,57.6,154.1,3584,2212,4592
TMEM200A,uc003qcb.2,24.1,24.1,64.2,792,1335,2721
KLF9,uc004aht.2,17.5,8.1,21.6,279,207,449
TRAF1,uc004bku.1,6.6,6.4,17,176,290,609
PHLDA3,uc001gwq.2,197.4,90.3,238.5,1514,1198,2486
MAP2K3,uc002gys.2,79.5,74.6,196.8,1752,2850,5860
C3orf52,uc003dyq.3,13.6,12,31.7,188,284,585
ZNF143,uc001mhr.2,16.1,20.5,53.9,688,1427,2979
C1orf216,uc001bzh.1,33.1,23.9,62.8,485,592,1224
NIPAL1,uc003gxw.2,4.9,4.3,11.4,130,197,397
HS3ST3A1,uc002gob.1,6.1,4.1,10.7,142,165,352
ARHGAP31,uc003ecj.3,4,3.6,9.3,374,582,1171
none,uc001gmi.3,19.2,13.9,36,1453,1848,3649
NAP1L5,uc003hrx.2,6.5,5.5,14.2,75,107,219
VEGFA,uc003owh.2,155.3,94.5,244.4,4117,4238,8664
ZFC3H1,uc001swo.2,30.1,17.7,45.5,4056,3941,7892
MOAP1,uc001ybj.2,34.6,22,56.5,794,859,1705
CYR61,uc001dle.2,961.1,539,1384.9,23198,23086,45314
PDGFA,uc003sir.2,15.9,10,25.7,207,232,461
LAMC2,uc001gqa.2,2.4,1.6,4,184,211,419
ZFP37,uc004bgm.1,2.9,1.8,4.7,123,134,255
PANX1,uc001per.2,23.3,25.8,65.9,651,1209,2418
HPCAL1,uc002raj.2,93.3,79.4,202.2,1049,1534,3037
MYADM,uc002qcl.2,46.3,27.9,71.1,910,983,1886
KLF7,uc002vbz.1,7.8,3.8,9.8,149,125,247
PER2,uc002vyc.2,1.2,1,2.6,101,145,287
MIDN,uc002lrp.2,37.2,17.9,44.8,1109,922,1809
TMEM156,uc003gto.2,6.9,7.8,19.4,137,260,492
CPEB4,uc003mcs.3,9.1,10.2,25.3,439,846,1600
HIVEP2,uc003qjd.2,10.7,8.1,20,1770,2196,4272
TPM4,uc002ndi.2,25.5,12.2,30.5,202,170,343
FOSL1,uc001ogg.1,386.7,173.9,431.6,3191,2594,5066
FOXD1,uc003kcp.2,76.5,49.8,123.6,1936,2192,4354
CITED4,uc001cgj.2,11.8,6.4,15.9,137,130,248
VGLL4,uc010hdx.1,21.4,18.3,45.2,408,603,1145
DUSP7,uc003dct.2,16.1,9.9,24.5,433,445,877
PHLDA3,uc009wzx.2,181.3,92.3,227.8,1887,1662,3204
ZNF597,uc002cvd.2,3.4,3.6,8.9,95,172,324
AEN,uc002bmt.2,78.2,64.8,159.4,1575,2338,4442
ZNF134,uc002qpn.2,10.4,6.7,16.6,293,312,604
TBC1D10A,uc011akt.1,11.9,7.3,17.8,387,401,780
GADD45B,uc002lwb.1,195.4,78.9,192.9,1923,1383,2597
C19orf26,uc002lrm.2,6.2,3.6,8.9,175,182,343
SH2B3,uc001tse.2,33.9,24.9,60.6,1250,1569,3011
LAMB3,uc001hhh.2,30.7,16.6,40.2,2274,2178,4095
DYRK3,uc001hej.2,23.6,23.8,57.6,897,1608,2929
ZFP112,uc010ejj.2,4.6,3,7.2,283,293,564
MCL1,uc001euz.2,217.7,98,237.3,4822,3719,7120
TNFRSF10D,uc003xcz.1,12.3,13,31.5,308,537,1020
SPTY2D1,uc001moy.2,17,14.2,34.2,768,1067,2030
LIMA1,uc001rwk.3,41.2,44,106.2,2107,3709,6999
KIAA1737,uc001xtd.2,5.8,4.9,11.9,157,217,408
UTP3,uc003hfo.2,41.3,43.6,105.1,1301,2301,4344
FBXO32,uc003yqr.2,30.2,14.4,34.7,737,559,1059
MEF2C,uc003kjj.2,3,2.7,6.6,90,141,268
TRIM52,uc003mnp.2,12.7,5.1,12.2,244,161,303
MAP1S,uc002nhe.1,28.3,20.6,49.1,1907,2414,4516
DYRK2,uc001str.3,34,25.6,61,1336,1707,3172
FAM123B,uc004dvo.2,2.1,1.7,4.1,154,217,404
ZNF281,uc001gve.2,26.1,23.1,54.8,1570,2311,4254
OBFC2A,uc002usx.2,62.1,45.2,107.1,824,1029,1853
CDC14A,uc001dtf.2,2.1,1.7,4,91,117,218
KIAA0907,uc001fmi.1,45.9,26.1,61.5,1873,1773,3267
MB21D2,uc011bsp.1,8.7,7.5,17.6,280,412,744
CHST3,uc001jsn.2,22.4,11.8,27.7,689,618,1146
RHOB,uc002rdv.2,211.7,115.9,271.4,2534,2541,4433
SPATA2L,uc002foj.2,18.9,8.9,20.8,500,423,758
CLN8,uc003wpo.3,8.1,7,16.3,149,218,399
USP27X,uc004dop.2,7.7,4.8,11.2,220,233,422
AHDC1,uc009vsy.2,14.4,7.7,18,1521,1378,2508
ZNF264,uc002qob.2,4,2.4,5.6,157,163,292
ERO1LB,uc001hxt.2,3,3.2,7.4,91,168,298
S1PR3,uc004aqe.2,3.8,4.2,9.9,95,179,322
SSH1,uc001tnm.2,24.9,17.9,41.7,1711,2084,3799
FAS,uc001kfr.2,53.5,50.5,117.3,1198,1904,3372
FZD4,uc001pce.2,5.7,5,11.5,206,302,535
SIK1,uc002zdf.2,28.1,16.7,38.6,1480,1452,2624
SPRED3,uc002oim.2,9.2,3.7,8.4,232,161,298
TFPI2,uc003umy.1,80.4,81.3,187.4,1259,2088,3751
MFSD2A,uc001ceu.2,5.7,7.1,16.3,191,432,746
CD3EAP,uc002pbq.1,22.9,18.9,43.5,742,1038,1916
CRY2,uc010rgn.1,6.4,3.2,7.3,257,214,387
TRNP1,uc001bnj.3,18.9,9,20.5,256,229,396
TSC22D1,uc001uzn.3,28.6,26.3,60.2,2094,3146,5593
KLF10,uc011lhk.1,46.7,43.6,99.4,1499,2262,4120
EIF5A2,uc003fhd.2,14.9,13.9,31.6,142,216,393
PHLDA2,uc001lxa.1,54.6,72,163.4,520,1202,2087
AMIGO2,uc001rpk.2,122.3,144.2,327.3,4262,8721,14763
none,uc002fha.2,8.8,6,13.5,314,375,655
ZNF668,uc002eao.2,18.5,14.1,31.9,724,960,1707
ARMCX5,uc004ejh.2,10.5,13.7,30.8,388,858,1485
UNC13A,uc002nhd.2,1.3,0.6,1.4,155,125,212
SOWAHC,uc002tfb.2,14.7,8,17.9,485,467,812
DNMBP,uc001kqj.2,32.8,25.7,57.5,3476,4422,7889
FAM196B,uc003mag.2,15.5,12,26.9,535,704,1242
KTI12,uc001ctj.1,20.6,18.9,42.2,463,726,1284
FAM214B,uc003zwo.2,22.1,11.4,25.4,711,670,1134
DUSP14,uc002hnx.2,52.8,73.5,163.8,668,1602,2749
RCAN1,uc002yue.2,49.1,44.8,99.8,782,1285,2146
COQ10B,uc002uuh.1,21.1,24,53.4,308,582,1025
VPS37B,uc001udl.2,55.3,45.8,101.9,1015,1405,2481
TBKBP1,uc002ilu.2,3.7,1.7,3.9,152,118,205
ETV3,uc001fqr.2,9.1,6.4,14.3,295,358,623
CDC42SE1,uc001ewp.2,81.1,81.2,179.5,392,669,1145
ISG20L2,uc001fps.1,15.3,12.7,28,322,467,806
HMGN2,uc001bmq.3,25,3.3,7.2,214,48,80
C14orf142,uc001ybl.1,19.6,18.4,40.2,119,194,330
ARMC5,uc002ecc.2,23.5,16.8,36.7,1399,1733,2978
ZNF408,uc001nde.1,18.3,9.7,21.1,839,765,1315
STK40,uc001cak.1,18.7,17.2,37.3,521,826,1399
SLC25A25,uc004btb.2,15.1,15.8,34.2,483,891,1486
STC2,uc003mco.1,477.1,369.1,801.9,8838,12317,20735
YOD1,uc001hfe.1,5.7,4.7,10.3,127,178,307
TRMT12,uc003yra.3,4.7,5.3,11.4,136,269,441
DSEL,uc002lke.1,8.2,9.4,20.3,673,1298,2155
SPATA2,uc002xuw.2,8.7,6.8,14.6,298,389,656
ZNF256,uc002qqu.2,3.5,2.1,4.6,146,148,246
DNAJC25,uc004bfl.2,20.7,21.3,46.1,478,854,1427
MNT,uc002fur.2,8.7,4.8,10.4,327,301,524
TAF13,uc001dwm.1,44.8,48.2,103.9,354,620,1066
PCF11,uc001ozx.3,19.7,21.3,45.9,2082,3650,6213
SFT2D3,uc002tpf.2,14.1,6.8,14.5,186,164,265
ANKRD50,uc003ifg.3,12.4,11.3,24.2,1224,1812,3016
STK10,uc003mbo.1,21.8,17.3,37,1341,1858,3110
ORAOV1,uc001opc.2,30,28,59.9,259,410,686
ZNF283,uc002oxr.3,2.4,2.1,4.4,111,150,254
TRIM36,uc003kqs.2,1.1,2.1,4.4,55,174,277
KLHL28,uc001wvr.2,3.6,3.8,8.2,137,253,403
ITPRIPL2,uc002dfu.3,28,14.5,30.7,943,832,1419
PPP1R15A,uc002pky.3,209.8,146.4,310.4,8516,10986,17663
CEBPD,uc003xqh.1,9.2,4.5,9.6,157,133,216
GZF1,uc002wsz.2,18.9,14.6,31,879,1159,1909
ZFPM1,uc002fkv.2,8.2,4.6,9.8,519,515,852
MOB3C,uc001cqe.3,7.1,4.3,9.1,120,126,209
ADORA2B,uc002gpd.1,53.4,35.9,75.6,1105,1279,2126
ZNF398,uc003wfl.2,8.5,5.2,10.9,341,363,599
KCNK6,uc002oic.2,21.6,6.6,13.8,424,219,370
ZNF800,uc003vly.1,11.1,13.8,28.9,502,1043,1664
TGFB1,uc002oqh.1,71.7,53.6,112,1848,2285,3759
ZNF526,uc002osz.1,10.6,5.6,11.6,462,419,675
SAMD11,uc001abw.1,3.1,1.7,3.4,139,125,203
SEC24A,uc003kzs.2,14,19,39.1,1045,2365,3721
SOCS5,uc002rvf.2,5.1,4.5,9.3,154,236,376
PPP1R15B,uc001hav.3,19.2,20.1,41.4,918,1557,2561
C1orf110,uc001gck.2,3,3.8,7.8,59,129,201
CDR2L,uc002jml.3,15.9,11.2,23.1,470,564,929
DKFZp761E198,uc001ofo.3,24.2,15.2,31.2,1270,1364,2225
SYDE2,uc009wcm.2,2,2.2,4.5,157,294,466
CAMK2N1,uc001bdh.2,22.7,22,45.3,108,167,285
FST,uc003jpd.2,70.7,64.3,132.2,1515,2573,3902
BCAR3,uc001dqa.2,65.7,53.7,110.2,3501,4886,7886
KANK1,uc003zgn.1,6.5,5.1,10.4,589,746,1223
VGLL3,uc003dqn.2,5.5,4.5,9.2,118,162,257
B3GNT5,uc003flk.2,7,7.7,15.7,177,325,512
TRIAP1,uc001tyg.2,86.2,92.7,189.8,405,739,1161
RBM12,uc002xdr.2,99.4,125,255.1,6228,12923,20645
METTL21D,uc001wxo.1,8.3,6.1,12.4,116,147,235
WWTR1,uc003exf.2,34,30.6,62.3,897,1335,2148
SLC25A44,uc001fnp.2,15.5,12.4,25.3,318,412,682
PTX3,uc003fbl.3,750.5,935.9,1902.4,17798,42513,62349
LUZP1,uc010odv.1,27.8,23.1,46.9,1987,2753,4391
AKAP8,uc002nav.2,26.7,23.4,47.5,1179,1763,2827
MTF1,uc001cce.1,4.9,4.2,8.6,240,347,562
TRAF6,uc001mws.1,5.1,3.4,6.9,164,188,295
ZNF557,uc002mgc.2,2.7,3,6.1,80,141,223
EDA2R,uc004dwq.2,24.1,10.4,21.1,471,347,535
GALNT4,uc001tbd.2,6,4.9,9.8,238,315,491
TP53RK,uc002xsk.2,42.7,51.9,104.5,686,1457,2257
IRF1,uc003kxa.2,35.9,26.3,52.9,772,940,1476
PWWP2B,uc001lll.3,5.4,3.4,6.9,198,220,351
PTRH2,uc002ixt.2,57.2,91.2,183.5,664,1793,2774
SEC24D,uc003ici.3,29.3,32.7,65.7,2064,3783,5891
FJX1,uc001mwh.2,66.7,44.1,88.5,1791,2092,3333
FAM200B,uc003gof.3,8.7,9.3,18.7,367,665,1004
INSIG1,uc003wly.2,32.3,27.5,54.9,575,852,1300
ZNF786,uc003wfh.2,6.8,3.8,7.5,341,318,511
EID2,uc002oma.2,34.4,23,45.9,507,600,921
TSC22D2,uc003exv.2,19.6,12.5,25,989,1073,1680
ARMCX6,uc004ehy.2,14.8,10.7,21.3,248,295,480
JRK,uc003ywo.2,11.7,6.6,13.2,420,391,635
LRRC8E,uc002mir.2,16,13.2,26.3,823,1143,1809
ADAM19,uc003lwz.2,14.3,11.2,22.2,870,1141,1773
ITGA2,uc003joy.2,18.5,11.4,22.6,1497,1461,2317
ZCCHC3,uc002wdf.2,47.4,22,43.4,1218,960,1510
MAP1A,uc001zrt.2,2.5,0.8,1.6,475,243,379
SYNC,uc001bvt.2,11.1,6.7,13.3,359,358,552
STOM,uc004blh.2,21.8,15.9,31.4,415,499,774
IRF2BPL,uc001xsy.2,60.9,39.4,77.6,3127,3410,5297
ZNF579,uc002qlh.2,25.2,13.7,27,886,833,1311
LRRC8A,uc010myp.2,42.8,36.1,70.9,2245,3266,4980
HOXC8,uc001ser.2,13.6,8.7,17.1,211,224,350
KLHL25,uc002bly.2,8.2,6.6,12.9,308,425,659
FAM167A,uc003wtw.2,18.2,8.1,15.9,245,189,288
TCTA,uc003cwv.3,20.9,14.2,28,133,150,237
GBP1,uc001dmx.2,4.5,4.2,8.3,143,229,346
ZNF12,uc003sqt.1,20.8,16.1,31.7,918,1216,1830
ZNF778,uc002fmv.2,4,3,6,189,247,376
ZSWIM1,uc010ghi.2,6.1,4.7,9.1,198,257,382
TNFRSF10B,uc003xcu.2,122,103.3,201,3331,4969,7379
HOMER1,uc003kfy.2,3,7.2,14,73,288,425
UBL3,uc001usp.2,18,18.2,35.4,134,229,344
SH3BP5L,uc001iew.1,52.5,32.8,63.6,1313,1392,2150
BLOC1S2,uc001kqw.1,84.4,95.5,185.3,675,1328,1954
SLC1A5,uc002pfs.2,86.8,105.5,204.5,2987,6226,9558
ZBTB39,uc001sml.1,6.8,4.3,8.3,316,340,515
ALDH1B1,uc004aay.2,29.4,27.8,53.8,989,1567,2399
AKIRIN1,uc001ccw.2,49.2,49.4,95.6,469,816,1251
KITLG,uc001tav.2,21.3,30.3,58.6,372,947,1367
SAT1,uc004dau.2,107.9,76.5,147.8,1186,1434,2118
PURB,uc003tme.2,33.8,23.4,45.1,631,752,1168
RGMB,uc003knc.2,73.5,47.2,90.9,2239,2521,3748
PTPRR,uc001swi.1,5.6,4.5,8.7,241,348,496
THBS1,uc001zkh.2,196.1,228.9,440.5,15544,30387,44761
STX3,uc001nog.2,48.4,55.2,106.2,909,1796,2626
STX1A,uc003tyx.2,43.9,31.2,59.9,826,982,1470
FKBP14,uc003tal.1,14.2,18.8,36.1,199,434,648
RUNDC1,uc002ici.1,13.2,7.8,15,510,511,786
CHPF2,uc003wjr.1,69.5,58,111.5,3480,4962,7445
TMEM186,uc002cze.2,24.2,11.8,22.7,324,281,410
TNS1,uc002vgt.2,5.8,4,7.7,693,767,1167
EXOC8,uc001huq.2,5.5,4.2,8.1,265,344,511
DHFRL1,uc003dri.2,80.4,45.2,86.6,420,393,565
HDAC9,uc003sui.2,18.2,12.6,24.2,1289,1553,2246
ANTXR2,uc003hlz.3,78.9,65,124.4,2567,3475,5247
SLC41A2,uc001tla.2,3.5,3.8,7.3,138,244,360
F2RL2,uc003kem.2,11.6,8.8,16.8,301,371,540
TNFRSF10A,uc003xda.2,6.4,4.2,8.1,192,209,319
KCTD11,uc002gge.3,19.8,12,22.8,291,310,450
